id,center_name,total_voter,1,2,3,4,5,6,7,8,9,10,11,total_legal_vote,total_cancelled_vote,total_vote,total_vote_rate
51,"ডহরপুকুরিয়া হাফেজিয়া মাদ্রাসা, (উভয়)",996,0,180,0,0,1,0,208,1,2,0,0,392,16,408,39.36
52,"নাদকুন্ডু সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1715,0,658,6,4,5,3,227,3,2,4,8,920,60,980,53.64
54,"গিলাপোল সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1597,0,384,2,0,1,1,306,1,4,0,2,701,27,728,43.89
157,"ভাতুড়িয়া মাধ্যমিক বিদ্যালয়, (উভয়)",3558,4,1903,9,5,0,5,310,3,9,6,0,2254,98,2352,63.35
165,"শড়াতলা সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1549,0,658,0,0,0,0,335,0,0,0,0,993,29,1022,64.11
179,"সাবেক বিন্নী সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2014,0,526,2,1,2,0,358,2,0,1,0,892,24,916,44.29
101,"অচিন্তানগর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1366,0,581,2,2,1,3,370,3,0,0,1,963,17,980,70.50
77,"ছবেদ আলী মাধ্যমিক বিদ্যালয়, (উভয়)",2463,1,684,4,1,1,2,388,6,12,5,1,1105,83,1188,44.86
131,"দোবিলা সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2516,1,778,2,1,0,5,402,2,5,5,0,1201,12,1213,47.73
124,"চটকাবাড়ীয়া সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2190,2,759,2,0,1,0,427,1,8,0,0,1200,43,1243,54.79
149,"দখলপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2121,0,375,3,1,1,7,427,0,8,5,1,828,53,881,39.04
151,"দৌলৎপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1617,1,380,2,2,0,4,429,3,7,2,1,831,58,889,51.39
128,"মান্দারতলা-জোড়াপুকুরিয়া সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1843,0,535,3,1,0,2,432,3,8,2,1,987,58,1045,53.55
150,"কে,বি একাডেমী পারদখলপুর মাধ্যমিক বিদ্যালয়, (উভয়)",2086,4,375,2,1,0,4,436,3,6,3,0,834,39,873,39.98
76,"গান্না সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2463,1,473,0,0,1,1,447,2,6,2,1,934,53,987,37.92
115,"চুটলিয়া সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1086,0,228,0,0,0,1,451,2,2,1,0,685,20,705,63.08
49,"পশ্চিম দুর্গাপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2322,3,585,1,1,1,5,486,2,11,3,0,1098,36,1134,47.29
118,"পূর্ব কৃষ্ণপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1974,1,895,4,1,0,2,501,5,4,1,0,1414,21,1435,71.63
148,"ফতেপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1753,0,470,2,0,2,3,507,0,5,1,2,992,36,1028,56.59
74,"রঘুনাথপুর সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2088,2,621,3,0,0,1,509,2,1,5,0,1144,51,1195,54.79
62,"রামচন্দ্রপুর স্কুল এন্ড কলেজ, (উভয়)",2456,0,427,1,3,2,1,514,4,2,4,1,959,54,1013,39.05
166,"বলরামপুর দারুস সুন্নাহ দাখিল মাদ্রাসা, (উভয়)",2034,0,640,0,2,0,2,514,3,2,2,1,1166,0,1166,57.33
156,"হিংগারপাড়া সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1841,0,436,1,1,1,5,516,1,5,3,0,969,48,1017,52.63
95,"বাকড়ী সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2524,1,1185,1,1,1,1,523,3,4,1,0,1721,29,1750,68.19
68,"ডেফলবাড়ী সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2000,0,739,1,2,0,1,528,2,3,1,0,1277,14,1291,63.85
