,id,our_vote_rate,opponent_vote_rate
0,51,53.0,46.0
1,52,25.0,72.0
2,54,44.0,55.0

3,157,14.0,84.0

4,165,34.0,66.0
5,179,40.0,59.0
6,101,38.0,60.0
7,77,35.0,62.0
8,131,33.0,65.0
9,124,36.0,63.0
10,149,52.0,45.0
11,151,52.0,46.0
12,128,44.0,54.0
13,150,52.0,45.0
14,76,48.0,51.0
15,115,66.0,33.0
16,49,44.0,53.0
17,118,35.0,63.0
18,148,51.0,47.0
19,74,44.0,54.0
20,62,54.0,45.0
21,166,44.0,55.0
22,156,53.0,45.0
23,95,30.0,69.0
24,68,41.0,58.0
25,183,38.0,61.0
26,14,68.0,32.0
27,61,49.0,50.0
28,168,56.0,40.0
29,75,45.0,54.0
30,36,62.0,36.0
31,37,53.0,44.0
32,11,61.0,38.0
33,7,75.0,24.0
34,65,49.0,49.0
35,126,50.0,48.0
36,127,56.0,44.0
37,79,59.0,40.0
38,20,65.0,33.0
39,136,43.0,38.0
40,143,54.0,43.0
41,153,53.0,46.0
42,82,52.0,47.0
43,39,67.0,30.0
44,155,46.0,52.0
45,121,45.0,53.0
46,43,54.0,45.0
47,144,47.0,49.0
48,140,50.0,47.0
49,33,46.0,53.0
50,146,36.0,62.0
51,87,57.0,42.0
52,67,41.0,58.0
53,135,70.0,27.0
54,29,62.0,37.0
55,10,66.0,33.0
56,13,68.0,31.0
57,147,58.0,39.0
58,38,60.0,39.0
59,164,39.0,61.0
60,177,48.0,52.0
61,19,52.0,47.0
62,185,42.0,57.0
63,63,54.0,45.0
64,48,55.0,44.0
65,141,56.0,41.0
66,64,55.0,43.0
67,17,72.0,28.0
68,163,42.0,57.0
69,180,49.0,50.0
70,46,79.0,20.0
71,59,37.0,62.0
72,27,48.0,51.0
73,172,55.0,44.0
74,72,51.0,47.0
75,26,66.0,33.0
76,107,44.0,55.0
77,45,52.0,47.0
78,8,53.0,46.0
79,56,62.0,36.0
80,108,33.0,66.0
81,171,55.0,43.0
82,35,57.0,41.0
83,103,40.0,59.0
84,60,49.0,49.0
85,30,60.0,38.0
86,160,53.0,46.0
87,21,77.0,21.0
88,42,42.0,57.0
89,100,48.0,51.0
90,184,47.0,52.0
91,28,53.0,46.0
92,44,42.0,56.0
93,170,59.0,39.0
94,25,60.0,39.0
95,178,49.0,50.0
96,110,52.0,47.0
97,98,34.0,65.0
98,23,57.0,42.0
99,123,61.0,38.0
100,133,56.0,41.0
101,2,42.0,57.0
102,78,47.0,51.0
103,16,73.0,26.0
104,122,61.0,38.0
105,50,41.0,58.0
106,134,68.0,31.0
107,162,43.0,57.0
108,175,53.0,46.0
109,105,55.0,44.0
110,22,72.0,27.0
111,84,57.0,42.0
112,106,64.0,36.0
113,169,55.0,43.0
114,58,70.0,28.0
115,6,67.0,33.0
116,142,52.0,45.0
117,83,52.0,47.0
118,18,78.0,21.0
119,5,73.0,26.0
120,85,66.0,33.0
121,66,51.0,48.0
122,55,45.0,54.0
123,159,65.0,33.0
124,81,65.0,33.0
125,89,58.0,40.0
126,4,72.0,28.0
127,104,56.0,43.0
128,154,55.0,43.0
129,120,67.0,33.0
130,73,50.0,49.0
131,71,54.0,44.0
132,9,65.0,35.0
133,15,74.0,25.0
134,31,65.0,34.0
135,117,62.0,37.0
136,96,63.0,37.0
137,152,55.0,43.0
138,32,70.0,29.0
139,132,68.0,23.0
140,167,59.0,39.0
141,24,57.0,43.0
142,47,70.0,28.0
143,57,62.0,37.0
144,53,54.0,45.0
145,99,58.0,40.0
146,173,39.0,60.0
147,12,71.0,28.0
148,111,41.0,58.0
149,34,45.0,55.0
150,116,73.0,26.0
151,80,64.0,34.0
152,88,57.0,42.0
153,125,54.0,45.0
154,69,59.0,40.0
155,109,48.0,51.0
156,70,51.0,48.0
157,119,56.0,44.0
158,182,60.0,39.0
159,176,55.0,44.0
160,161,60.0,39.0
161,92,64.0,34.0
162,91,62.0,37.0
163,102,59.0,39.0
164,137,63.0,35.0
165,158,57.0,41.0
166,41,51.0,48.0
167,40,62.0,37.0
168,138,57.0,42.0
169,129,38.0,61.0
170,181,50.0,49.0
171,94,48.0,51.0
172,174,66.0,33.0
173,145,55.0,43.0
174,3,63.0,36.0
175,1,55.0,45.0
176,113,55.0,43.0
177,112,54.0,45.0
178,97,54.0,45.0
179,86,56.0,43.0
180,139,59.0,39.0
181,93,57.0,41.0
182,130,60.0,38.0
183,114,81.0,18.0
184,90,58.0,41.0
